city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
suntar,76,RU,1551461433,85,62.16,117.65,13.66,3.96
baghdad,0,IQ,1551459600,46,33.3,44.38,53.6,5.82
chikhli,0,IN,1551457800,41,20.76,73.06,75.2,3.36
raton,1,US,1551461102,22,36.9,-104.44,60.8,43.62
scarisoara,20,RO,1551459600,66,44.0,24.57,55.4,13.87
mandalgovi,0,MN,1551461437,76,45.76,106.27,19.28,9.66
ballangen,90,NO,1551461421,92,68.34,16.83,28.4,3.36
biak,0,ID,1551461437,95,-0.91,122.88,78.41,4.63
los llanos de aridane,75,ES,1551460617,68,28.66,-17.92,66.2,5.82
gornopravdinsk,92,RU,1551461438,77,60.06,69.92,19.96,9.44
inongo,92,CD,1551461438,99,-1.93,18.29,72.61,2.95
northam,40,GB,1551461405,76,51.04,-4.21,51.01,12.75
kangavar,20,IR,1551459060,80,34.5,47.96,32.0,9.17
galesong,20,ID,1551459600,100,-5.32,119.37,77.0,1.12
leirvik,0,NO,1551461409,64,59.78,5.5,39.2,2.24
damghan,44,IR,1551461443,86,36.17,54.34,37.46,2.95
krosno odrzanskie,88,PL,1551461387,88,52.05,15.1,39.0,4.0
kidal,0,ML,1551461443,14,18.44,1.41,72.25,6.64
khani,90,GE,1551459600,93,41.96,42.96,37.4,8.05
gubkinskiy,88,RU,1551461445,84,64.43,76.5,15.32,14.25
mirabad,92,IR,1551461445,96,28.27,61.33,50.51,19.84
samarai,12,PG,1551461445,100,-10.62,150.67,81.02,4.85
neryungri,56,RU,1551461445,53,56.66,124.71,-2.28,2.95
vaijapur,0,IN,1551461446,57,19.92,74.72,61.31,4.18
nyuksenitsa,36,RU,1551461446,62,60.41,44.24,0.02,3.74
isla vista,90,US,1551461441,93,34.41,-119.86,59.0,6.93
chaska,90,US,1551461445,85,44.79,-93.6,19.0,4.41
kavaratti,0,IN,1551461188,100,10.57,72.64,82.19,11.01
mitsamiouli,20,KM,1551459600,79,-11.38,43.28,84.2,3.36
bilibino,76,RU,1551461448,65,68.06,166.44,-5.65,2.17
castletown,75,GB,1551461433,81,50.57,-2.44,50.0,9.17
iberia,88,PE,1551461448,92,-11.41,-69.49,75.76,2.95
dalnerechensk,0,RU,1551461449,55,45.93,133.72,16.85,3.74
ozora,0,JP,1551459067,66,43.92,144.17,32.0,10.0
lewistown,1,US,1551461320,69,40.39,-90.15,39.99,8.05
faxinal,0,BR,1551461449,73,-24.0,-51.32,83.68,4.07
ancud,75,CL,1551459600,87,-41.87,-73.83,59.0,4.7
prince rupert,1,CA,1551459600,94,54.32,-130.32,32.0,4.29
thoen,0,TH,1551461451,77,17.61,99.22,69.23,0.6
bridlington,56,GB,1551461223,81,54.08,-0.19,48.99,5.82
senanga,24,ZM,1551461451,57,-16.1,23.3,79.36,4.07
mount isa,0,AU,1551459600,50,-20.73,139.49,78.8,5.82
tsevie,20,TG,1551459600,83,6.43,1.21,78.8,2.24
thaton,0,MM,1551461452,96,16.91,97.37,79.22,9.89
plettenberg bay,8,ZA,1551461452,98,-34.05,23.37,65.5,4.74
marzuq,0,YE,1551461452,60,14.4,46.47,63.02,2.51
pacific grove,1,US,1551461398,71,36.62,-121.92,53.01,4.7
lac-megantic,20,CA,1551461419,32,45.58,-70.88,28.0,5.82
bathsheba,75,BB,1551459600,65,13.22,-59.52,80.6,20.8
sur,0,OM,1551461453,86,22.57,59.53,75.76,21.07
san-pedro,24,CI,1551461160,67,4.75,-6.64,84.8,8.43
muli,0,IN,1551461454,42,22.62,71.45,62.35,2.28
dunmore town,12,BS,1551461412,100,25.5,-76.65,75.4,6.76
hirakud,0,IN,1551461454,66,21.53,83.9,66.98,6.42
evensk,64,RU,1551461455,100,61.92,159.24,-5.02,5.64
lima,0,PE,1551459600,61,-12.06,-77.04,82.4,6.93
saint-pierre,90,FR,1551461384,81,48.95,4.24,50.0,5.82
alta floresta,32,BR,1551461456,64,-9.87,-56.08,86.2,2.95
tallahassee,75,US,1551461145,100,30.44,-84.28,64.99,6.93
muscat,40,OM,1551459000,51,23.6,58.55,86.0,19.46
sisimiut,48,GL,1551461457,86,66.94,-53.67,13.97,1.28
naze,75,NG,1551456000,66,5.43,7.07,89.6,5.82
cap malheureux,40,MU,1551461340,78,-19.98,57.61,82.4,6.93
port hardy,75,CA,1551459600,92,50.7,-127.42,30.2,3.36
garoua,0,CM,1551459600,16,9.31,13.39,96.8,4.7
koratagere,40,IN,1551459600,88,13.52,77.24,77.0,13.87
chimore,32,BO,1551461458,72,-16.98,-65.13,84.62,3.85
mantua,40,IT,1551461407,62,45.16,10.79,57.0,2.24
liepaja,8,LV,1551459000,58,56.52,21.02,28.4,9.17
sidney,1,US,1551461409,72,47.72,-104.16,14.0,8.05
villacarrillo,92,ES,1551461459,70,38.12,-3.08,53.39,5.3
tutoia,20,BR,1551459600,44,-2.76,-42.27,93.2,9.17
limbuhan,48,PH,1551461460,100,11.06,125.02,70.63,4.74
kalino,0,PL,1551461447,80,51.66,19.56,36.0,4.7
port moresby,48,PG,1551461463,98,-9.47,147.16,82.19,15.82
novyy urgal,0,RU,1551461464,51,51.07,132.56,-4.71,2.84
hornepayne,0,CA,1551461468,54,49.22,-84.78,18.65,4.74
lavrentiya,88,RU,1551461468,89,65.58,-170.99,26.39,4.52
riom,90,FR,1551461226,50,45.89,3.11,51.8,8.05
skibbereen,75,IE,1551459600,100,51.55,-9.27,48.2,12.75
miandrivazo,88,MG,1551461331,90,-19.53,45.46,74.23,2.17
tautira,20,PF,1551460992,78,-17.73,-149.15,82.4,2.24
humberto de campos,12,BR,1551461469,94,-2.6,-43.46,82.64,8.66
dali,0,CN,1551461470,100,25.6,100.24,38.68,2.73
lembang,92,ID,1551461470,97,-6.81,107.62,71.75,2.84
ilulissat,20,GL,1551459000,73,69.22,-51.1,26.6,12.75
gemena,12,CD,1551461471,87,3.25,19.78,76.25,3.18
okmulgee,90,US,1551459300,79,35.62,-95.96,33.8,4.7
arlit,0,NE,1551461474,41,18.74,7.39,66.17,3.96
batsfjord,90,NO,1551459000,85,70.63,29.72,23.0,4.7
saint-joseph,0,FR,1551461465,67,43.56,6.97,64.0,5.82
abaza,0,RU,1551461476,65,52.65,90.1,9.25,2.17
banda aceh,0,ID,1551461476,98,5.56,95.32,73.37,2.17
jilib,0,SO,1551461476,71,0.49,42.79,79.67,11.12
campo verde,75,PE,1551459600,331,-8.47,-74.81,35.6,2.62
zemio,12,CF,1551461477,91,5.02,25.13,72.92,1.61
boyolangu,88,ID,1551461477,97,-8.09,111.9,70.67,2.39
thyboron,8,DK,1551461421,82,56.7,8.21,39.99,9.78
ucluelet,5,CA,1551461427,80,48.94,-125.55,35.6,2.24
waingapu,56,ID,1551461479,100,-9.65,120.26,73.73,2.62
falmouth,75,GB,1551461402,93,50.16,-5.07,54.0,13.87
acapulco,5,MX,1551458700,69,16.86,-99.88,82.4,3.36
areka,88,ET,1551461480,38,7.07,37.71,71.84,2.51
shache,0,CN,1551461329,88,38.42,77.24,34.0,2.84
dzerzhinskoye,76,RU,1551461481,87,56.84,95.22,29.72,5.64
broken hill,0,AU,1551459600,27,-31.97,141.45,73.4,6.93
road town,40,VG,1551461232,65,18.42,-64.62,82.4,11.41
bandarbeyla,0,SO,1551461482,100,9.49,50.81,77.15,9.55
karakol,20,KG,1551461482,60,42.49,78.39,8.3,2.39
pointe-noire,75,CG,1551459600,83,-4.8,11.85,82.4,10.29
xifeng,0,CN,1551461483,68,42.73,124.72,22.61,5.97
oranjemund,0,ZA,1551461483,86,-28.55,16.43,64.51,22.97
kawalu,64,ID,1551461484,96,-7.38,108.21,66.89,1.72
hun,88,BE,1551461448,93,50.34,4.87,44.6,6.93
lusambo,20,CD,1551461484,88,-4.97,23.44,76.52,1.16
champerico,5,MX,1551458820,42,16.38,-93.6,86.0,4.7
florida,40,CU,1551459000,45,21.53,-78.23,87.8,11.41
kununurra,0,AU,1551459600,61,-15.77,128.74,82.4,10.29
port augusta,0,AU,1551461179,21,-32.49,137.76,84.2,6.93
hobyo,32,SO,1551461486,94,5.35,48.53,75.35,8.21
nyagan,76,RU,1551461486,89,62.14,65.43,20.0,5.75
takapau,32,NZ,1551459317,92,-40.02,176.35,43.0,6.64
otautau,64,NZ,1551461408,87,-46.14,168.0,53.01,1.99
springdale,90,US,1551460990,89,36.19,-94.13,37.4,5.82
kortkeros,0,RU,1551459600,91,61.81,51.56,-5.81,4.47
nalut,0,LY,1551461488,64,31.86,10.98,51.41,4.41
playa del carmen,40,MX,1551460991,62,20.63,-87.08,86.0,8.05
cooma,0,AU,1551459600,100,-36.24,149.13,53.6,6.93
lasa,75,CY,1551459600,67,34.92,32.53,59.0,13.87
ust-uda,80,RU,1551461489,69,54.17,103.03,15.86,3.18
hamilton,75,BM,1551461122,77,32.3,-64.78,71.01,8.05
mapiripan,48,CO,1551461489,72,2.89,-72.13,83.9,6.64
khiv,88,RU,1551461469,70,41.75,47.93,30.08,2.73
westport,75,IE,1551461291,100,53.8,-9.52,50.0,4.7
jiayuguan,0,CN,1551461490,57,39.77,98.29,5.69,3.96
siocon,0,PH,1551461491,100,11.03,124.04,77.6,10.78
touros,75,BR,1551459600,70,-5.2,-35.46,86.0,13.87
coolum beach,92,AU,1551461433,98,-26.53,153.09,73.99,1.99
beloha,88,MG,1551461491,91,-25.17,45.06,78.32,6.42
turukhansk,80,RU,1551461492,82,65.8,87.96,12.8,15.7
caxias,40,BR,1551459600,59,-4.87,-43.35,89.6,5.82
kilembe,8,UG,1551461492,91,0.2,30.01,70.13,3.51
auki,92,NG,1551461492,34,12.18,6.51,87.77,5.97
virginia beach,90,US,1551461485,100,36.85,-75.98,46.4,9.17
ketchikan,1,US,1551459360,86,55.34,-131.65,33.8,5.82
meulaboh,68,ID,1551461493,100,4.14,96.13,80.53,3.29
sal rei,0,CV,1551459600,38,16.18,-22.92,78.8,17.22
bandar-e anzali,0,IR,1551459600,81,37.47,49.46,46.4,4.7
monte alegre,20,BR,1551461495,66,-2.0,-54.07,87.68,3.18
vyazemskiy,0,RU,1551461495,52,47.53,134.76,17.53,3.85
dawlatabad,0,AF,1551461495,90,36.41,64.91,47.95,7.31
gat,0,SN,1551459600,6,14.69,-16.54,87.8,18.34
mardin,0,TR,1551459600,80,37.32,40.72,39.2,6.93
mayang imphal,0,IN,1551461496,78,24.62,93.88,45.65,1.95
belance,64,PH,1551461496,98,16.2,121.24,65.27,2.17
geelong,0,AU,1551461411,52,-38.15,144.36,79.0,5.82
manokwari,32,ID,1551461497,99,-0.87,134.08,80.3,4.52
borogontsy,48,RU,1551461497,64,62.67,131.17,-14.56,2.73
oistins,75,BB,1551459600,65,13.07,-59.53,80.6,20.8
camocim,76,BR,1551461501,92,-2.9,-40.84,81.29,5.41
zarand,40,IR,1551459600,19,30.81,56.57,50.0,20.8
lac du bonnet,0,CA,1551461392,83,50.25,-96.06,5.0,5.08
aksarka,20,RU,1551461502,66,66.56,67.8,-9.52,6.31
bam,0,IR,1551461502,38,29.11,58.36,58.7,15.48
