city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
cabo san lucas,5,MX,1551461120,38,22.89,-109.91,82.99,2.24
dikson,12,RU,1551461292,66,73.51,80.55,-4.75,21.85
cape town,0,ZA,1551460976,64,-33.93,18.42,73.0,14.99
sabha,0,LY,1551461292,37,27.03,14.43,58.48,5.75
hammerfest,20,NO,1551459000,85,70.66,23.68,23.0,5.82
vao,0,EE,1551461293,81,59.1,26.19,16.18,5.97
simoes,24,BR,1551461090,100,-7.6,-40.82,78.73,4.97
ramsgate,75,AU,1551461285,94,-33.98,151.14,72.0,4.7
grand-santi,44,GF,1551461294,51,4.27,-54.38,89.35,3.06
constitucion,5,MX,1551460816,23,23.99,-104.67,68.0,4.7
esperance,40,TT,1551460567,48,10.24,-61.45,87.8,20.8
longyearbyen,40,NO,1551459000,64,78.22,15.63,1.4,0.94
geraldton,40,CA,1551459600,61,49.72,-86.95,12.2,5.82
pevek,80,RU,1551461183,100,69.7,170.27,-1.15,8.77
catuday,0,PH,1551461295,94,16.29,119.81,75.89,8.21
chara,0,GR,1551459000,54,39.42,22.43,64.4,4.7
denpasar,20,ID,1551459600,83,-8.65,115.22,82.4,5.82
kapaa,75,US,1551460506,72,22.08,-159.32,63.0,6.93
upernavik,24,GL,1551461296,100,72.79,-56.15,1.19,6.08
peredovaya,92,RU,1551461296,98,44.12,41.48,33.14,14.81
henties bay,0,NA,1551459727,80,-22.12,14.28,68.0,3.0
bolobo,80,CD,1551461297,84,-2.17,16.23,77.6,3.51
vostok,0,RU,1551461297,60,46.45,135.83,15.5,3.74
hobart,0,AU,1551461240,46,-42.88,147.33,73.4,8.05
port elizabeth,90,US,1551461267,86,39.31,-74.98,37.0,9.17
half moon bay,1,US,1551461298,66,37.46,-122.43,51.8,4.41
moranbah,20,AU,1551461299,92,-22.0,148.04,66.26,6.98
chany,64,RU,1551461299,82,55.31,76.76,17.21,8.43
saskylakh,8,RU,1551461300,32,71.97,114.09,-22.03,9.66
saint george,0,GR,1551459000,54,39.45,22.34,64.4,4.7
palmira,40,CO,1551459600,57,3.53,-76.3,80.6,3.36
ribeira grande,20,PT,1551457800,82,38.52,-28.7,62.6,18.34
sitka,20,US,1551461301,71,37.17,-99.65,38.41,9.78
hualmay,56,PE,1551461301,68,-11.1,-77.61,78.05,5.64
grindavik,75,IS,1551461055,93,63.84,-22.43,43.0,8.05
hambantota,0,LK,1551461107,100,6.12,81.12,80.53,16.26
port lincoln,8,AU,1551461302,62,-34.72,135.86,76.88,9.44
tura,0,IN,1551461302,76,25.52,90.21,47.45,2.06
the valley,20,AI,1551460505,61,18.22,-63.06,82.99,19.46
bouna,12,CI,1551461303,18,9.27,-3.0,88.13,3.96
waipawa,32,NZ,1551459317,92,-39.94,176.59,43.0,6.64
georgetown,40,GY,1551459600,74,6.8,-58.16,84.2,16.11
berlevag,40,NO,1551459000,85,70.86,29.09,15.8,10.29
xinglongshan,0,CN,1551459600,49,43.96,125.47,26.6,4.47
nikolskoye,0,RU,1551460507,62,59.7,30.79,21.2,6.71
temerloh,8,MY,1551461304,71,3.45,102.42,76.88,3.18
praya,36,ID,1551461304,100,-8.71,116.27,81.65,3.51
bethel,90,US,1551459360,80,60.79,-161.76,37.4,9.17
san pedro,12,AR,1551461221,52,-33.68,-59.66,86.6,18.05
kavieng,20,PG,1551461308,100,-2.57,150.8,82.15,5.64
mahebourg,40,MU,1551461040,78,-20.41,57.7,82.4,6.93
mount gambier,0,AU,1551459600,26,-37.83,140.78,80.6,9.17
huangnihe,0,CN,1551461308,67,43.56,128.02,11.18,2.51
long beach,75,US,1551460676,78,30.35,-89.15,75.0,3.36
ribas do rio pardo,32,BR,1551461309,73,-20.45,-53.76,85.52,5.75
trincomalee,56,LK,1551461309,91,8.58,81.23,74.81,6.64
volovo,92,RU,1551461309,96,53.55,38.01,31.88,5.19
barra do garcas,24,BR,1551461143,91,-15.89,-52.26,85.21,3.85
taoudenni,0,ML,1551461310,20,22.68,-3.98,70.0,10.78
portland,90,US,1551461236,86,45.52,-122.67,43.0,3.18
saint-philippe,1,CA,1551461211,41,45.36,-73.48,25.0,3.36
ensenada,20,MX,1551461035,90,31.86,-116.62,60.01,3.0
severo-kurilsk,8,RU,1551461311,100,50.68,156.12,15.46,6.76
port keats,20,AU,1551461311,100,-14.25,129.55,73.91,4.07
mayya,0,RU,1551459600,75,61.74,130.28,-18.41,4.47
chuguyevka,0,RU,1551461312,66,44.17,133.87,11.99,2.51
chumikan,0,RU,1551461312,61,54.72,135.31,0.7,3.96
provideniya,0,RU,1551461312,99,64.42,-173.23,19.19,6.42
bermejo,0,AR,1551461313,52,-22.73,-64.34,89.12,3.62
kaitangata,44,NZ,1551461190,88,-46.28,169.85,47.54,8.99
norman wells,20,CA,1551459600,63,65.28,-126.83,-5.81,12.75
akhtanizovskaya,40,RU,1551459600,75,45.32,37.1,41.0,8.95
khovu-aksy,0,RU,1551461314,55,51.13,93.72,-4.48,2.51
kapuskasing,75,CA,1551459600,56,49.42,-82.43,15.8,12.75
egvekinot,68,RU,1551461314,81,66.32,-179.17,20.36,10.45
karratha,64,AU,1551461314,66,-20.74,116.85,81.83,8.21
ola,36,RU,1551461315,100,59.58,151.3,2.27,5.53
vaini,0,IN,1551461283,75,15.34,74.49,59.51,2.17
linxia,48,CN,1551461315,83,35.6,103.21,20.9,2.62
yarmouth,75,GB,1551461290,81,50.71,-1.5,51.01,9.17
sidi ali,64,DZ,1551461316,69,36.1,0.42,58.43,2.73
petropavlovsk-kamchatskiy,0,RU,1551459600,71,53.05,158.65,5.0,13.42
corinto,48,BR,1551461317,89,-18.36,-44.46,81.29,4.41
nome,90,US,1551461309,87,30.04,-94.42,55.4,4.7
rio branco,75,BR,1551459600,94,-9.98,-67.82,77.0,4.7
omboue,56,GA,1551461318,100,-1.57,9.26,82.06,4.97
kudahuvadhoo,44,MV,1551461318,100,2.67,72.89,82.15,9.22
tuktoyaktuk,5,CA,1551459600,69,69.44,-133.03,-7.61,19.46
san quintin,32,PH,1551461319,84,17.54,120.52,64.15,3.4
nogliki,0,RU,1551461319,100,51.8,143.14,10.28,12.24
tongren,92,CN,1551461319,99,27.72,109.18,41.51,5.64
san remo,24,AU,1551461306,88,-33.21,151.52,69.01,5.86
kahului,40,US,1551461040,72,20.89,-156.47,61.0,6.93
faanui,68,PF,1551461320,100,-16.48,-151.75,82.19,9.78
casma,64,PE,1551461320,92,-9.47,-78.3,74.72,10.45
hithadhoo,56,MV,1551461321,100,-0.6,73.08,83.41,10.78
alice springs,0,AU,1551459600,26,-23.7,133.88,80.6,6.93
laukaa,40,FI,1551461144,57,62.42,25.95,21.2,3.36
vila velha,40,BR,1551461038,70,-3.71,-38.6,84.2,5.82
le port,0,FR,1551461113,44,42.87,1.37,59.0,13.87
buala,8,SB,1551461322,87,-8.15,159.59,81.29,4.97
zyryanka,68,RU,1551461322,68,65.73,150.89,-9.88,4.97
